Ingredient,Price,Quantity,Unit Price,Unit,Url
Natural Honey Farm Organic Pure Honey,10.99,per pack,1.47,100g,https://www.instacart.ca/store/adonis/products/17961892
Lactantia Unsalted Butter,7.99,per pack,1.76,100g,https://www.instacart.ca/store/adonis/products/17886739
Black Diamond Medium Cheddar Cheese Bar,7.49,per pack,1.66,100g,https://www.instacart.ca/store/adonis/products/21147204
Arvanitis Greek Feta Cheese,27.9,kg,0.03,g,https://www.instacart.ca/store/adonis/products/27942878
Tre Stelle Grated Parmesan Cheese,5.79,per pack,4.63,100g,https://www.instacart.ca/store/adonis/products/17881929
Nurishh Plant Based Mozzarella Style Sliced Cheese,5.79,per pack,3.62,100g,https://www.instacart.ca/store/adonis/products/28130478
No Name Medium Eggs,4.19,per pack,0.35,per unit,https://www.instacart.ca/store/adonis/products/19283375
Lactantia Purfiltre 1% Partly Skimmed Milk,4.69,per pack,0.23,100ml,https://www.instacart.ca/store/adonis/products/19128898
Iogo 2.3% Plain Yogurt,8.99,per pack,0.45,100g,https://www.instacart.ca/store/adonis/products/19341661
Blackberries,4.99,per pack,0.83,oz,https://www.instacart.ca/store/adonis/products/58736
Blueberries Package,4.99,per pack,0.83,oz,https://www.instacart.ca/store/adonis/products/17327026
Diana’s Sliced Peaches in a Light Syrup,5.29,per pack,null,null,https://www.instacart.ca/store/adonis/products/21425072
Strawberries,6.99,per pack,0.44,oz,https://www.instacart.ca/store/adonis/products/2656121
Broccoli,2.99,per pack,null,null,https://www.instacart.ca/store/adonis/products/25828959
Selection Corn Vegetable Can,1.69,per pack,0.85,100ml,https://www.instacart.ca/store/adonis/products/27351232
Cedar's Frozen Vegetable Green Peas,6.99,per pack,0.4,100g,https://www.instacart.ca/store/adonis/products/27323492
Better Brand Spinach in Bag,3.99,per pack,1.4,100g,https://www.instacart.ca/store/adonis/products/1962100
Garlic,11.0,kg,null,null,https://www.instacart.ca/store/adonis/products/3253298
International Fresh Produce Yellow Onions,1.99,per pack,0.06,oz,https://www.instacart.ca/store/adonis/products/17090399
The Little Potato Company Terrific Trio Potatoes,3.99,per pack,0.25,oz,https://www.instacart.ca/store/adonis/products/19584422
Cedar's Sultana Raisin,3.99,per pack,1.00,100g,https://www.instacart.ca/store/adonis/products/27947457
bare Apple Chips,5.99,per pack,6.24,100g,https://www.instacart.ca/store/adonis/products/20509336
Pitted Dried Apricots,2.99,per pack,1.5,100g,https://www.instacart.ca/store/adonis/products/27297475
Royal Nuts Natural Raw Almonds,11.99,per pack,3.69,100g,https://www.instacart.ca/store/adonis/products/17958189
Irresistibles 6-Flavour Peanut Tray,6.49,per pack,0.98,100g,https://www.instacart.ca/store/adonis/products/28091913
Royal Nuts Unsalted Shelled Sunflower Seeds,4.99,per pack,2.0,100g,https://www.instacart.ca/store/adonis/products/17988704
Adonis Spices Halal Boneless Chicken Breast,20.92,kg,null,null,https://www.instacart.ca/store/adonis/products/27947769
Delphi Sea Salt,2.79,per pack,0.37,100g,https://www.instacart.ca/store/adonis/products/17889046
Club House Family Ground Black Pepper,6.99,per pack,6.08,100g,https://www.instacart.ca/store/adonis/products/17997628
Centre Chops Boneless Economy Pack Pork Loin,12.76,kg,null,null,https://www.instacart.ca/store/adonis/products/27951020
Phoenicia Halal Corned Beef,6.49,per pack,1.91,100g,https://www.instacart.ca/store/adonis/products/21178557
Navel Orange,0.59,per pack,3.95, kg (About 0.15 kg each),https://www.instacart.ca/store/adonis/products/3401790
Schneiders Smoked Turkey,42.9,kg,0.04,g,https://www.instacart.ca/store/adonis/products/27958366
Lafleur Original Naturally Smoked Bacon,9.99,per pack,2.0,100g,https://www.instacart.ca/store/adonis/products/19070912
Bob's Red Mill Unsweetened Shredded Coconut,7.99,per pack,2.35,100g,https://www.instacart.ca/store/adonis/products/19385664
Your Fresh Market White Mushrooms,2.99,per pack,1.32,100g,https://www.instacart.ca/store/adonis/products/322923
Beet,0.36,per pack,4.39, kg (About 0.08 kg each),https://www.instacart.ca/store/adonis/products/16346293
McCormick® Gourmet Organic Fennel Seed,5.99,per pack,24.96,100g,https://www.instacart.ca/store/adonis/products/25750239
Front Lamb Shoulder,19.82,kg,null,null,https://www.instacart.ca/store/adonis/products/27953789
Blue Tide Raw Peeled White Shrimp,9.99,per pack,2.94,100g,https://www.instacart.ca/store/adonis/products/27950110
Selection White Sandwich Bread,2.99,per pack,0.44,100g,https://www.instacart.ca/store/adonis/products/27340878
Première Moisson French Baguette Bread,3.49,per pack,1.07,100g,https://www.instacart.ca/store/adonis/products/27266180
Selection 100% Whole Wheat Sandwich Bread,2.99,per pack,0.44,100g,https://www.instacart.ca/store/adonis/products/27343526
Première Moisson Integral Sourdough Organic Bread,7.49,per pack,1.2,100g,https://www.instacart.ca/store/adonis/products/27949409
Santosh Naan Plain,2.99,per pack,0.6,100g,https://www.instacart.ca/store/adonis/products/24810471Chosen
Chosen Foods 100% Pure Avocado Oil,19.99,per pack,2.67,100ml,https://www.instacart.ca/store/adonis/products/16266099
Kadoya Pure Sesame Oil,6.99,per pack,2.14,100ml,https://www.instacart.ca/store/adonis/products/17993366
Unico Sunflower Oil,10.49,per pack,1.05,100ml,https://www.instacart.ca/store/adonis/products/17885753
Kühne Apple Cider Vinegar,4.99,per pack,0.67,100ml,https://www.instacart.ca/store/adonis/products/17991582
French's Mustard Squeeze,2.29,per pack,0.57,100ml,https://www.instacart.ca/store/adonis/products/17883972
Club House Basil Leaves,6.99,per pack,18.89,100g,https://www.instacart.ca/store/adonis/products/17881414
Club House Dill Weed,6.49,per pack,12.98,100g,https://www.instacart.ca/store/adonis/products/17886709
Club House Ground Sage Tin,3.79,per pack,21.06,100g,https://www.instacart.ca/store/adonis/products/17975401
Dion Organic Tarragon,4.69,per pack,39.08,100g,https://www.instacart.ca/store/adonis/products/237327
McCormick® Ground Cardamom,8.99,per pack,31.0,100g,https://www.instacart.ca/store/adonis/products/26965405
Club House Organic Ground Turmeric,2.79,per pack,7.15,100g,https://www.instacart.ca/store/adonis/products/17884796
Cedar's Lentils,3.99,per pack,null,null,https://www.instacart.ca/store/adonis/products/2733299
Bob's Red Mill Organic Whole Grain Quinoa,13.99,per pack,3.79,100g,https://www.instacart.ca/store/adonis/products/21711271
Cedar's Sm Pearled Barley,2.49,per pack,0.27,100g,https://www.instacart.ca/store/adonis/products/16632366
ItalPasta Penne Rigate,3.59,per pack,0.4,100g,https://www.instacart.ca/store/adonis/products/17818569
Italpasta Fusilli Pasta,3.59,per pack,0.4,100g,https://www.instacart.ca/store/adonis/products/17879960
Italpasta Large Shell Pasta,3.59,per pack,0.4,100g,https://www.instacart.ca/store/adonis/products/17886688
Italpasta Spaghetti,3.59,per pack,0.4,100g,https://www.instacart.ca/store/adonis/products/17879228
Erabeille Pure Maple Syrup,8.99,per pack,1.66,100ml,https://www.instacart.ca/store/adonis/products/27948039
Monsieur Gustav Smoked Gouda Cheese,7.49,per pack,4.41,100g,https://www.instacart.ca/store/adonis/products/25563730
Frico Swiss Cheese Slices,5.79,per pack,null,null,https://www.instacart.ca/store/adonis/products/23889024
Boursin Garlic & Fine Herb Gournay Cheese,7.29,per pack,4.86,100g,https://www.instacart.ca/store/adonis/products/102173
Cedar's Walnuts,6.99,per pack,1.54,100g,https://www.instacart.ca/store/adonis/products/27949782
Cedar's Pecan Nuts,7.99,per pack,3.99,100g,https://www.instacart.ca/store/adonis/products/27943251
Bob's Red Mill Whole Organic Chia Seeds,9.99,per pack,2.94,100g,https://www.instacart.ca/store/adonis/products/18903353
Bob's Red Mill Whole Flaxseed,3.69,per pack,1.0,100g,https://www.instacart.ca/store/adonis/products/18903350
Cedar's Dried Cranberry,4.99,per pack,1.43,100g,https://www.instacart.ca/store/adonis/products/27943126
Fresh Dates,13.21,kg,null,null,https://www.instacart.ca/store/adonis/products/16345968
Mediterranean Salmon Fillet,26.43,kg,null,null,https://www.instacart.ca/store/adonis/products/27949082
Halal Lamb Chops,44.06,kg,null,null,https://www.instacart.ca/store/adonis/products/27949290
Adonis Spices White Pita Bread,1.99,per pack,0.5,100g,https://www.instacart.ca/store/adonis/products/27343837
"Earth's Own Organic Almond Beverage, Unsweetened Original",5.79,per pack,0.33,100ml,https://www.instacart.ca/store/adonis/products/17886049
Thai Kitchen Coconut Milk,3.79,per pack,0.95,100ml,https://www.instacart.ca/store/adonis/products/17090448
Red Bell Pepper,2.75,per pack,11.0, kg (About 0.25 kg each),https://www.instacart.ca/store/adonis/products/3259137
Zucchini Squash,1.03,per pack,4.39, kg (About 0.24 kg each),https://www.instacart.ca/store/adonis/products/3253241
Asparagus,13.21,kg,null,null,https://www.instacart.ca/store/adonis/products/3255927
Mango,0.78,each,1.99,kg,https://www.instacart.ca/store/adonis/products/365208
Cedar's Diced Pineapple,6.99,per pack,1.75,100g,https://www.instacart.ca/store/adonis/products/28081901
Organic Kiwifruit Bag,3.99,per pack,0.25,oz,https://www.instacart.ca/store/adonis/products/73623
Bioitalia Organic Pesto Sauce With Basil,9.99,per pack,6.24,100ml,https://www.instacart.ca/store/adonis/products/18840945
Summer Fresh Original Hummus,3.49,per pack,1.54,100g,https://www.instacart.ca/store/adonis/products/17817641
Bolthouse Farms Carrots in Bag,1.99,per pack,0.06,oz,https://www.instacart.ca/store/adonis/products/2003389
Celery,2.99,per pack,null,null,https://www.instacart.ca/store/adonis/products/2717598
Leek Package,4.99,per pack,null,null,https://www.instacart.ca/store/adonis/products/20723212
Aritchoke,2.50,per pack,null,null,https://www.instacart.ca/store/adonis/products/3258106
Ocean Mist Farms Season & Steam Microwavable Brussels Sprouts,4.99,per pack,null,null,https://www.instacart.ca/store/adonis/products/145661
Cauliflower,4.99,per pack,null,null,https://www.instacart.ca/store/adonis/products/3255628
Eggplants,2.18,kg,null,null,https://www.instacart.ca/store/adonis/products/27953413
Kale,2.99,per pack,null,null,https://www.instacart.ca/store/adonis/products/246390
Radishes,2.99,per pack,0.19,oz,https://www.instacart.ca/store/adonis/products/43373
Green Cabbage,1.98,each,2.18,kg,https://www.instacart.ca/store/adonis/products/150457
French Green Beans,11.0,kg,null,null,https://www.instacart.ca/store/adonis/products/3267304
English Seedless Cucumber,1.69,per pack,null,null,https://www.instacart.ca/store/adonis/products/16614423
Honeycrisp Apple,1.21,each,6.59,kg,https://www.instacart.ca/store/adonis/products/16614400
Anjou Pear,1.35,each,6.59,kg,https://www.instacart.ca/store/adonis/products/16346030
Bick's Premium Baby Dill Pickles With Garlic,-1,-1,null,null,https://www.instacart.ca/store/adonis/products/18613832
"Swiss Classic Gold Milk Chocolate Bar, 300 Grams",7.99,per pack,2.66,100g,https://www.instacart.ca/store/adonis/products/17880572
STARBURST Original Fruit Candy,4.29,per pack,2.25,100g,https://www.instacart.ca/store/adonis/products/17974618
Ristorante Italiano Pizza Speciale,6.99,per pack,2.12,100g,https://www.instacart.ca/store/adonis/products/17882480
Banana,0.28,each,1.48,kg,https://www.instacart.ca/store/adonis/products/2748189
